Wavelength,UHP-T-405-EP,UHP-T-415-SR,UHP-T-425-SR,UHP-T-435-SR,UHP-T-450-EP,UHP-T-460-DI,UHP-T-488-SR,UHP-T-495-SR,UHP-T-520-EP,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-620-SR,UHP-T-630-EP,UHP-T-650-EP,UHP-T-670-SR,UHP-T-730-SR
284,4.30E-05,0.000356757,0,8.83E-05,3.30E-06,0,0.000115737,0.000176516,6.77E-05,0,-2.34E-05,0,3.39E-05,0,0,0
284.5,4.27E-05,0.000355405,0,8.67E-05,5.22E-06,0,0.000116503,0.000176516,6.81E-05,0,-2.45E-05,0,3.83E-05,0,0,0
285,0.000826185,0.000354054,0,8.61E-05,6.98E-06,0,0.000117269,0.000176516,7.27E-05,0,-2.49E-05,0,4.18E-05,0,0,0
285.5,0.000813804,0.0070875,0,0.001731724,0.000022599,0,3.76E-05,5.62E-05,7.10E-07,0,-6.37E-05,0,3.91E-07,0,0,0
286,0.000840752,0.007169595,0,0.001741034,0.000031752,0,3.76E-05,5.59E-05,8.65E-07,0,-6.15E-05,0,4.02E-07,0,0,0
286.5,0.000883968,0.007224324,0,0.001768966,0.000034344,0,3.71E-05,5.52E-05,0.000001008,0,-5.73E-05,0,4.10E-07,0,0,0
287,0.000925483,0.007251689,0,0.001784483,0.000033534,0,3.66E-05,5.45E-05,0.000001062,0,-5.33E-05,0,4.12E-07,0,0,0
287.5,4.41E-05,0.007279054,0,0.001713103,0.000033048,0,3.61E-05,5.39E-05,0.000001125,0,-5.65E-05,0,4.06E-07,0,0,0
288,4.12E-05,0.000358108,0,8.34E-05,1.53E-05,0,0.000114204,0.000170323,0.000136192,0,-2.20E-05,0,4.45E-05,0,0,0
288.5,4.03E-05,0.000356757,0,8.18E-05,1.75E-05,0,0.00011497,0.000171355,0.000140288,0,-2.20E-05,0,4.24E-05,0,0,0
289,3.39E-05,0.000354054,0,8.03E-05,1.86E-05,0,0.000117269,0.000173419,0.000141312,0,-2.22E-05,0,4.02E-05,0,0,0
289.5,2.88E-05,0.000352703,0,7.88E-05,1.87E-05,1.81E-06,0.000117269,0.000173419,0.000147456,0,-2.24E-05,0,0.000037888,0,0,0
290,0.000442347,0.000351351,0,7.77E-05,1.80E-05,1.27E-06,0.000118036,0.000173419,0.000147456,0,-2.24E-05,0,3.57E-05,0,0,0
290.5,0.000331154,0.007114865,0,0.001557931,0.000041877,0,3.76E-05,5.45E-05,0.000001269,0,-5.57E-05,0,2.95E-07,0,0,0
291,0.000242053,0.007196959,0,0.001582759,0.000037989,0,3.83E-05,5.52E-05,0.000001242,0,-5.09E-05,0,2.76E-07,0,0,0
291.5,0.000212434,0.007306419,0,0.00162931,0.000035316,0,3.88E-05,5.52E-05,0.000001206,0,-4.42E-05,0,2.56E-07,0,0,0
292,0.000169947,0.007306419,0,0.001663448,0.0000324,0,3.93E-05,5.55E-05,0.00000117,0,-3.89E-05,0,2.32E-07,0,0,0
292.5,4.59E-06,0.007251689,0,0.001697586,0.000023166,1.46E-06,3.98E-05,5.55E-05,0.000001107,0,-3.41E-05,0,2.07E-07,0,0,0
293,6.11E-07,0.000352703,0,8.49E-05,6.88E-06,0,0.000126467,0.000175484,0.000111616,0,-1.25E-05,0,2.06E-05,0,0,0
293.5,0,0.000352703,0,8.60E-05,6.30E-06,1.67E-07,0.000128,0.000176516,0.000104448,0,-1.24E-05,0,1.78E-05,0,0,0
294,0,0.000352703,0,8.74E-05,6.66E-06,0,0.000129533,0.000176516,9.68E-05,0,-1.26E-05,0,1.55E-05,0,0,0
294.5,0,0.000355405,0,9.00E-05,5.98E-06,0,0.000129533,0.000176516,0.000087552,0,-1.19E-05,0,1.35E-05,0,0,0
295,0.000100511,0.000356757,0,9.21E-05,4.80E-06,0,0.000129533,0.000175484,8.26E-05,0,-1.08E-05,0,1.14E-05,0,0,0
295.5,0.000257348,0.007415878,0,0.001886897,0.000010287,0,4.12E-05,5.55E-05,7.25E-07,0,-2.52E-05,0,7.94E-08,0,0,0
296,0.000397433,0.007607432,0,0.001914828,7.73E-06,0,4.12E-05,5.55E-05,6.77E-07,0,-2.10E-05,0,5.52E-08,0,0,0
296.5,0.000509599,0.007580068,0,0.001933448,6.42E-06,0,4.12E-05,5.52E-05,6.08E-07,0,-1.66E-05,0,3.08E-08,0,0,0
297,0.0005936,0.007525338,0,0.001964483,0.000010044,0,4.10E-05,5.45E-05,5.70E-07,0,-1.15E-05,0,8.16E-09,0,0,0
297.5,3.23E-05,0.007552703,0,0.001998621,0.000010206,6.68E-06,4.07E-05,5.39E-05,5.30E-07,0,-7.46E-06,0,0,0,0,0
298,3.64E-05,0.000375676,0,9.98E-05,3.71E-06,7.09E-06,0.000128,0.000168258,6.11E-05,0,-2.54E-06,0,0,4.58E-07,0,0
298.5,4.19E-05,0.000375676,0,9.96E-05,6.21E-06,1.10E-05,0.000125701,0.000166194,6.49E-05,0,-3.38E-06,0,0,9.91E-06,0,0
299,4.57E-05,0.000372973,0,9.96E-05,1.05E-05,1.34E-05,0.000124168,0.000164129,6.86E-05,0,-4.36E-06,0,0,1.61E-05,0,0
299.5,5.02E-05,0.000367568,0,9.87E-05,1.31E-05,1.63E-05,0.000123401,0.000164129,0.0000768,0,-5.65E-06,0,0,2.45E-05,0,0
300,0.001092031,0.00037027,0,0.000100843,6.98E-05,8.75E-05,7.37E-10,1.96E-10,1.14E-16,0,-4.34E-06,0,0,3.29E-13,0,0
300.5,0.001146414,0.007607432,0,0.002119655,4.16E-05,5.39E-05,4.17E-10,5.03E-10,6.61E-17,0,-3.89E-06,0,0,2.54E-14,0,0
301,0.001139131,0.007662162,0,0.002138276,4.43E-05,5.85E-05,4.15E-10,5.00E-10,6.69E-17,0,-6.18E-07,0,0,2.74E-14,0,0
301.5,0.001071637,0.007580068,0,0.002156897,5.47E-05,6.62E-05,4.12E-10,5.00E-10,6.99E-17,0,2.15E-06,0,0,3.15E-14,0,0
302,0.000998318,0.007497973,0,0.002200345,6.70E-05,7.15E-05,4.12E-10,5.00E-10,7.19E-17,0,6.15E-06,0,0,3.43E-14,0,0
302.5,4.59E-05,0.007470608,0,0.002228276,7.96E-05,7.58E-05,4.12E-10,5.06E-10,7.52E-17,0,8.23E-06,0,0,3.81E-14,0,0
303,4.49E-05,0.000374324,0,0.000112337,0.0001632,0.000137975,7.33E-10,2.00E-10,1.39E-16,0,4.59E-06,0,0,5.77E-13,0,0
303.5,4.41E-05,0.000377027,0,0.000112337,0.000167984,0.000127652,7.15E-08,1.96E-08,1.35E-14,0,4.12E-06,0,0,5.44E-13,0,0
304,4.44E-05,0.000374324,0,0.000110805,0.000166369,0.000114505,1.41E-07,3.90E-08,2.67E-14,0,2.49E-06,0,0,5.26E-13,0,0
304.5,4.40E-05,0.000366216,0,0.000110805,0.00016777,8.44E-05,1.05E-06,2.94E-07,1.76E-13,0,2.00E-06,0,0,3.98E-13,0,0
305,0.000832255,0.000363514,0,0.000109579,0.000158953,5.74E-05,1.96E-06,5.51E-07,2.78E-13,0,9.75E-07,0,3.39E-14,2.76E-13,0,0
305.5,0.000798023,0.007251689,0,0.002181724,7.98E-05,1.46E-05,5.43E-07,6.97E-07,5.34E-10,0,-2.10E-07,0,5.56E-15,7.24E-15,0,0
306,0.000729073,0.007224324,0,0.002172414,7.47E-05,5.48E-06,3.95E-10,5.15E-10,6.77E-13,0,-1.03E-06,0,8.45E-15,1.64E-15,0,0
306.5,0.000655996,0.007196959,0,0.00216,7.27E-05,4.18E-06,3.91E-10,5.18E-10,1.09E-12,0,-1.71E-06,0,1.09E-14,2.06E-15,0,0
307,0.000648712,0.007114865,0,0.002191034,6.87E-05,2.09E-06,3.81E-10,5.15E-10,1.47E-12,0,2.35E-07,0,1.26E-14,2.55E-15,0,0
307.5,3.24E-05,0.007169595,0,0.002231379,6.74E-05,3.39E-06,3.77E-10,5.15E-10,1.98E-12,0,1.73E-06,0,1.41E-14,5.34E-15,0,0
308,3.36E-05,0.000354054,0,0.000111724,0.0001072,5.23E-08,6.61E-10,2.05E-10,4.05E-12,0,4.56E-07,0,2.18E-13,5.64E-14,0,0
308.5,3.47E-05,0.000358108,0,0.000111877,9.02E-05,0,6.69E-10,2.07E-10,3.99E-12,0,-1.25E-06,0,2.28E-13,8.05E-14,0,0
309,3.56E-05,0.000368919,0,0.000111571,6.91E-05,0,6.81E-10,2.11E-10,3.63E-12,0,-3.28E-06,0,2.33E-13,5.07E-14,0,0
309.5,3.58E-05,0.000367568,0,0.00011341,5.79E-05,0,7.04E-10,2.15E-10,2.78E-12,0,-3.56E-06,0,2.37E-13,1.37E-14,0,0
310,0.000698239,0.000371622,0,0.000113103,5.25E-05,0,7.19E-10,2.17E-10,1.97E-12,0,-4.51E-06,0,2.46E-13,0,0,0
310.5,0.000654296,0.007580068,0,0.002299655,3.38E-05,0,4.13E-10,5.52E-10,9.06E-13,0,-1.19E-05,0,1.84E-14,0,0,0
311,0.000628561,0.007497973,0,0.002352414,4.08E-05,0,4.23E-10,5.59E-10,7.17E-13,0,-8.42E-06,0,1.99E-14,0,0,0
311.5,0.0005936,0.007525338,0,0.002405172,4.40E-05,0,4.26E-10,5.65E-10,7.10E-13,0,-5.89E-06,0,2.17E-14,0,0,0
312,0.000563496,0.007497973,0,0.002454828,5.38E-05,0,4.30E-10,5.65E-10,7.04E-13,0,-4.40E-06,0,2.38E-14,0,0,0
312.5,2.61E-05,0.007443243,0,0.00252,6.40E-05,0,4.33E-10,5.65E-10,6.04E-13,0,-2.53E-06,0,2.57E-14,0,0,0
313,2.66E-05,0.000366216,0,0.000125364,0.00011552,0,7.67E-10,2.21E-10,8.79E-13,0,-1.97E-06,0,3.96E-13,0,0,0
